Time,Gyro_X, Gyro_Y, Gyro_Z,Accel_X, Accel_Y, Accel_Z,Comp_X, Comp_Y, Comp_Z
    217,   -49,   164,     2,    -76,   236, 16012,   -76,   236, 16012
    220,   -50,   167,     1,    -32,   284, 15816,   -32,   284, 15816
    226,   -54,   171,     0,    -84,   296, 15800,   -84,   296, 15800
    231,   -58,   171,    -4,   -124,   320, 15776,  -124,   320, 15776
    235,   -68,   173,    -6,   -128,   300, 15748,  -128,   300, 15748
    246,   -86,   170,    -4,   -152,   156, 15572,  -152,   156, 15572
    253,   -85,   170,    -8,   -152,   156, 15572,  -152,   156, 15572
    262,   -70,   160,   -11,    -64,   -48, 15464,   -64,   -48, 15464
    279,   -54,   138,   -19,   -144,   -84, 15636,  -144,   -84, 15636
    286,   -32,   120,   -28,   -120,  -176, 15568,  -120,  -176, 15568
    297,   -26,   100,   -35,   -232,  -148, 15548,  -232,  -148, 15548
    316,   -26,    62,   -45,   -228,  -160, 15572,  -228,  -160, 15572
    320,   -26,    55,   -45,   -280,  -168, 15648,  -280,  -168, 15648
    332,   -27,    40,   -43,   -228,  -256, 15804,  -228,  -256, 15804
    342,   -17,    29,   -41,   -264,  -280, 15752,  -264,  -280, 15752
    349,     1,    27,   -38,   -292,  -280, 15764,  -292,  -280, 15764
    363,    29,    22,   -29,   -296,  -172, 15772,  -296,  -172, 15772
    374,    14,    23,   -23,   -224,  -232, 15896,  -224,  -232, 15896
    380,    -9,    20,   -13,   -248,  -168, 15764,  -248,  -168, 15764
    383,    -9,    20,   -13,   -244,  -236, 15944,  -244,  -236, 15944
    387,   -19,    17,    -7,   -244,  -236, 15944,  -244,  -236, 15944
    391,   -28,    13,    -2,   -224,  -240, 15904,  -224,  -240, 15904
    399,   -35,    11,     2,   -164,  -320, 15888,  -164,  -320, 15888
    405,   -34,     7,     9,   -168,  -260, 15948,  -168,  -260, 15948
    422,   -27,    11,    14,   -228,   -80, 15988,  -228,   -80, 15988
    427,   -35,    15,    16,   -148,    40, 16000,  -148,    40, 16000
    431,   -51,    18,    15,   -248,     4, 15936,  -248,     4, 15936
    443,   -90,    34,    18,   -276,    12, 15872,  -276,    12, 15872
    458,  -123,    49,    21,   -336,  -192, 15840,  -336,  -192, 15840
    480,  -101,    47,    28,   -260,  -360, 15844,  -260,  -360, 15844
    492,   -52,    45,    26,   -304,  -264, 15856,  -304,  -264, 15856
    497,   -33,    46,    24,   -296,  -152, 15800,  -296,  -152, 15800
    504,   -15,    49,    22,   -340,   -48, 15880,  -340,   -48, 15880
    514,    13,    56,    13,   -448,    20, 15720,  -448,    20, 15720
    540,   -11,    80,     7,   -312,   -40, 15644,  -312,   -40, 15644
    544,   -11,    80,     7,   -280,   -56, 15632,  -280,   -56, 15632
    561,   -28,    98,    11,   -372,   -24, 15632,  -372,   -24, 15632
