Time,Gyro_X, Gyro_Y, Gyro_Z,Accel_X, Accel_Y, Accel_Z,Comp_X, Comp_Y, Comp_Z
    389,   -19,    30,     5,    228,   176, 15752,   228,   176, 15752
    403,   -19,    29,     6,    228,   140, 15684,   228,   140, 15684
    408,   -17,    30,     6,    164,   112, 15724,   164,   112, 15724
    416,   -18,    29,     6,    160,   132, 15732,   160,   132, 15732
    434,   -17,    31,     5,    212,   204, 15892,   212,   204, 15892
    444,   -19,    29,     5,    164,   160, 15796,   164,   160, 15796
    447,   -19,    29,     5,    204,   100, 15752,   204,   100, 15752
    454,   -18,    30,     5,    148,    68, 15796,   148,    68, 15796
    469,   -20,    29,     5,    128,    92, 15720,   128,    92, 15720
    473,   -19,    30,     5,    184,   108, 15696,   184,   108, 15696
    484,   -18,    30,     2,    168,   172, 15668,   168,   172, 15668
    487,   -18,    30,     2,    180,    96, 15628,   180,    96, 15628
    500,   -19,    30,     3,    192,   128, 15696,   192,   128, 15696
    525,   -19,    31,     5,    160,   144, 15668,   160,   144, 15668
    543,   -18,    28,     6,    164,   112, 15888,   164,   112, 15888
    549,   -18,    29,     6,    200,   208, 15684,   200,   208, 15684
    559,   -17,    29,     5,    112,   108, 15824,   112,   108, 15824
    579,   -18,    29,     5,    184,   120, 15760,   184,   120, 15760
    587,   -17,    29,     6,    224,   148, 15708,   224,   148, 15708
    602,   -17,    30,     6,    176,    80, 15772,   176,    80, 15772
    610,   -19,    29,     4,    208,    96, 15752,   208,    96, 15752
    618,   -19,    31,     4,    164,   108, 15752,   164,   108, 15752
    636,   -18,    30,     5,    192,   124, 15764,   192,   124, 15764
    640,   -18,    30,     5,    156,   152, 15768,   156,   152, 15768
    645,   -18,    30,     4,    168,   116, 15736,   168,   116, 15736
    654,   -18,    29,     6,    208,   132, 15696,   208,   132, 15696
    658,   -17,    29,     6,    152,   152, 15852,   152,   152, 15852
    667,   -18,    30,     4,    180,   124, 15804,   180,   124, 15804
    687,   -18,    29,     3,    132,   128, 15732,   132,   128, 15732
    697,   -19,    30,     4,    164,   176, 15812,   164,   176, 15812
    708,   -22,    29,     4,    240,   132, 15812,   240,   132, 15812
    732,   -17,    29,     7,    156,   100, 15764,   156,   100, 15764
    749,   -19,    32,     5,    172,   168, 15680,   172,   168, 15680
    762,   -19,    31,     6,    192,    88, 15728,   192,    88, 15728
    769,   -20,    30,     6,    180,   112, 15768,   180,   112, 15768
    781,   -20,    28,     5,    256,   168, 15708,   256,   168, 15708
    802,   -18,    31,     5,    204,    68, 15864,   204,    68, 15864
    813,   -17,    30,     5,    132,   124, 15728,   132,   124, 15728
    818,   -19,    28,     4,    216,   116, 15676,   216,   116, 15676
    831,   -18,    28,     4,    196,   196, 15700,   196,   196, 15700
    834,   -18,    30,     5,    208,   152, 15672,   208,   152, 15672
    845,   -19,    30,     4,    244,   112, 15700,   244,   112, 15700
    853,   -18,    30,     4,    176,   160, 15820,   176,   160, 15820
    866,   -18,    29,     6,    200,   172, 15632,   200,   172, 15632
    873,   -19,    28,     5,    208,   108, 15732,   208,   108, 15732
    876,   -19,    28,     5,    208,   108, 15732,   208,   108, 15732
    891,   -20,    29,     7,    196,   176, 15688,   196,   176, 15688
