Time,Gyro_X, Gyro_Y, Gyro_Z,Accel_X, Accel_Y, Accel_Z,Comp_X, Comp_Y, Comp_Z
    302,   -20,    31,     6,   -196,    20, 15748,  -196,    20, 15748
    310,   -20,    32,     6,   -180,   -36, 15808,  -180,   -36, 15808
    325,   -20,    30,     5,   -144,   -60, 15800,  -144,   -60, 15800
    329,   -18,    31,     4,   -220,    -4, 15740,  -220,    -4, 15740
    342,   -18,    30,     4,   -192,   -16, 15804,  -192,   -16, 15804
    353,   -19,    33,     6,   -148,   -16, 15796,  -148,   -16, 15796
    362,   -20,    30,     4,   -160,   -88, 15824,  -160,   -88, 15824
    368,   -18,    31,     6,   -264,   -44, 15524,  -264,   -44, 15524
    372,   -20,    30,     5,   -192,  -108, 15940,  -192,  -108, 15940
    382,   -22,    30,     4,   -184,   -56, 15996,  -184,   -56, 15996
    386,   -23,    30,     5,   -220,    -8, 15476,  -220,    -8, 15476
    393,   -29,    30,     6,   -176,   -32, 16024,  -176,   -32, 16024
    399,   -37,    27,     6,   -212,   -88, 15724,  -212,   -88, 15724
    403,   -31,    27,     5,   -228,   -52, 15784,  -228,   -52, 15784
    412,   -13,    33,     5,   -168,    56, 15632,  -168,    56, 15632
    427,   -23,    30,     5,   -404,     4, 15832,  -404,     4, 15832
    436,   -26,    29,     5,     -8,   -56, 15700,    -8,   -56, 15700
    443,   -20,    31,     7,      4,  -140, 15776,     4,  -140, 15776
    449,    -9,    35,     6,      4,  -140, 15776,     4,  -140, 15776
    456,     3,    38,     4,   -168,   216, 15732,  -168,   216, 15732
    471,   -17,    29,     3,   -172,  -112, 15800,  -172,  -112, 15800
    479,   -19,    31,     5,   -236,   -44, 15808,  -236,   -44, 15808
    487,   -20,    31,     3,   -212,   -48, 15740,  -212,   -48, 15740
    496,   -21,    32,     5,   -276,    -4, 15668,  -276,    -4, 15668
    513,   -18,    32,     6,   -152,     4, 15696,  -152,     4, 15696
    544,   -17,    32,     6,   -188,    -4, 15680,  -188,    -4, 15680
    547,   -17,    32,     4,   -124,   -52, 15792,  -124,   -52, 15792
    558,   -18,    34,     6,   -152,   -20, 15788,  -152,   -20, 15788
    565,   -19,    30,     5,   -192,   -44, 15648,  -192,   -44, 15648
    584,   -24,    30,     5,   -152,   -24, 15784,  -152,   -24, 15784
    597,   -24,    28,     5,   -120,  -612, 15804,  -120,  -612, 15804
    613,   -15,    32,   -76,    384, -1612, 15648,   384, -1612, 15648
    632,  -133,    -6,   -98,   -480,  -348, 15776,  -480,  -348, 15776
    647,   -91,     7,     6,   -108,  -224, 15728,  -108,  -224, 15728
    655,   -55,    18,     6,   -156,   -32, 15612,  -156,   -32, 15612
    660,   -42,    22,     5,   -156,   -32, 15612,  -156,   -32, 15612
    663,   -49,    21,     6,   -240,   112, 15716,  -240,   112, 15716
    672,   -97,     6,     3,   -264,   100, 15724,  -264,   100, 15724
    679,  -138,    -4,     4,   -288,   220, 15860,  -288,   220, 15860
    686,  -251,   -40,     6,   -272,  -100, 15928,  -272,  -100, 15928
    693,  -280,   -48,     6,   -428,  -340, 15852,  -428,  -340, 15852
    705,  -291,   -49,     8,    116,  -108, 15780,   116,  -108, 15780
    708,  -288,   -47,     6,    116,  -108, 15780,   116,  -108, 15780
    721,  -356,   -68,     6,    -72,  -168, 15900,   -72,  -168, 15900
    730,  -383,   -76,     7,    304,   -92, 15760,   304,   -92, 15760
    739,  -383,   -75,    11,    496,   460, 15768,   496,   460, 15768
    751,  -339,   -85,    45,   1576,  -480, 16952,  1576,  -480, 16952
    764,  -241,  -109,    53,   1824,  -560, 16632,  1824,  -560, 16632
    772,  -118,  -134,    35,   2812,  -680, 15996,  2812,  -680, 15996
    777,   -82,  -137,    13,   3328,  -724, 15712,  3328,  -724, 15712
    783,   -71,  -138,   -11,   2884,  -492, 14876,  2884,  -492, 14876
    794,  -162,  -147,   -52,   2156,  -188, 14760,  2156,  -188, 14760
    802,   -34,  -106,   -45,   1492,    40, 14020,  1492,    40, 14020
    812,    16,  -131,    46,   1052,   912, 16140,  1052,   912, 16140
    831,    60,  -201,    28,   1700,   776, 15264,  1700,   776, 15264
    843,    37,  -244,   -60,   1560,   404, 16068,  1560,   404, 16068
    853,    28,  -271,   -98,   1160,   348, 14456,  1160,   348, 14456
    863,    40,  -297,   -87,   1092,  -312, 16408,  1092,  -312, 16408
    870,    52,  -315,   -70,   1384,   240, 16560,  1384,   240, 16560
    873,    81,  -338,   -52,   1384,   240, 16560,  1384,   240, 16560
    877,    66,  -356,   -33,   1584,  -168, 15676,  1584,  -168, 15676
    885,    78,  -372,   -27,   1952,  -868, 15168,  1952,  -868, 15168
    890,   -92,  -359,   -22,   1816,  -912, 14244,  1816,  -912, 14244
    909,   392,  -536,    21,   1180,  -296, 15260,  1180,  -296, 15260
    917,   497,  -592,    70,    968,   972, 12140,   968,   972, 12140
    929,   511,  -637,    94,    632, -2156, 24480,   632, -2156, 24480
    933,   478,  -645,   104,    732, -1136, 20684,   732, -1136, 20684
