Time,Gyro_X, Gyro_Y, Gyro_Z,Accel_X, Accel_Y, Accel_Z,Comp_X, Comp_Y, Comp_Z
    270,    21,    47,   -41,  -2780,  1012, 14836,    28,     9,    -4
    279,    23,    34,   -43,  -2820,  1048, 14760,    26,     8,    -7
    285,    23,    34,   -43,  -2820,  1048, 14760,    27,     8,    -5
    299,    14,     6,   -41,  -2472,   824, 14512,    28,     7,    -3
    316,     4,   -13,   -39,  -2492,   864, 14356,    28,     7,    -3
    321,    -6,   -44,   -34,  -2544,   852, 14360,    30,     5,    -4
    332,     7,   -80,   -27,  -2648,   776, 14400,    28,     7,    -5
    340,    18,  -102,   -20,  -2664,   864, 14580,    28,     8,    -5
    350,     9,  -113,   -15,  -2544,   892, 14568,    27,     6,    -5
    362,    -3,  -122,   -10,  -2600,   804, 14624,    28,     6,    -5
    403,   -49,  -139,    19,  -2696,  1012, 15060,    29,     7,    -2
    412,   -54,  -132,    25,  -2648,   924, 15028,    28,     6,    -5
    429,   -63,  -131,    28,  -2540,   912, 15300,    29,     7,    -3
    434,   -63,  -131,    28,  -2540,   912, 15300,    29,     7,    -3
    440,   -85,  -129,    34,  -2492,   864, 15348,    28,     2,    -5
    456,  -101,  -123,    38,  -2344,   888, 15468,    27,     6,    -4
    459,  -109,  -116,    46,  -2272,   908, 15468,    29,     4,    -5
    472,  -121,  -115,    51,  -2172,   916, 15480,    28,     6,    -6
    481,  -131,  -117,    56,  -2024,   752, 15536,    25,     5,    -4
    491,  -126,  -126,    59,  -1988,   796, 15644,    27,     5,    -6
    511,  -108,  -145,    48,  -1956,   780, 15684,    26,     4,    -5
    516,  -108,  -145,    48,  -1956,   780, 15684,    26,     4,    -5
    521,   -86,  -155,    38,  -1956,   736, 15688,    30,     4,    -3
    530,   -66,  -161,    28,  -1908,   632, 15924,    28,     4,    -6
    543,   -47,  -164,    22,  -1892,   656, 15908,    28,     5,    -4
    552,   -45,  -160,    22,  -1848,   536, 15832,    28,     4,    -5
    563,   -65,  -153,    22,  -1744,   360, 15716,    27,     6,    -2
    571,   -66,  -151,    26,  -1700,   276, 15868,    28,     3,    -5
    588,   -68,  -151,    34,  -1364,   208, 16200,    31,     3,    -4
    604,  -106,  -128,    61,  -1364,   208, 16200,    31,     3,    -4
    616,  -132,  -111,    79,  -1288,   196, 16192,    28,     4,    -4
    623,  -156,   -88,    91,  -1116,   368, 16048,    30,     2,    -4
    638,  -170,   -78,    97,  -1296,   384, 16000,    28,     3,    -4
    645,  -156,   -70,   101,  -1296,   384, 16000,    28,     3,    -4
    657,  -141,   -67,   102,  -1100,   280, 15872,    29,     3,    -4
    670,  -127,   -68,   111,  -1104,   320, 16040,    30,     4,    -4
    681,  -130,   -60,   112,  -1124,   420, 16000,    29,     2,    -2
    697,  -137,   -53,   110,  -1324,   624, 16060,    30,     3,    -4
    705,  -128,   -48,   102,  -1324,   624, 16060,    30,     3,    -4
    712,  -102,   -39,    90,  -1452,   628, 16112,    29,     2,    -5
    721,   -82,   -26,    74,  -1432,   544, 15928,    30,     0,    -5
    734,   -80,   -10,    62,  -1444,   380, 15844,    27,     1,    -5
    755,   -73,    -4,    63,  -1380,   128, 15640,    30,     3,    -3
    765,   -74,    -5,    70,  -1404,   264, 15772,    29,     0,    -7
    774,   -68,    -3,    72,  -1404,   264, 15772,    29,     0,    -7
    783,   -55,     2,    73,  -1356,   380, 15736,    31,     1,    -3
    793,   -52,     7,    67,  -1356,   456, 15896,    30,     2,    -5
    802,   -49,    17,    62,  -1352,   460, 15960,    29,     4,    -3
    820,   -83,    46,    57,  -1508,   248, 16012,    31,     2,    -3
    830,  -105,    65,    63,  -1468,    92, 15844,    32,     4,    -4
    834,  -105,    65,    63,  -1468,    92, 15844,    29,     4,    -3
    847,  -103,    80,    75,  -1472,    92, 15844,    29,     3,    -5
    862,   -88,    99,    85,  -1424,   408, 15728,    29,     3,    -5
    870,   -99,   113,    79,  -1432,   516, 15664,    31,     3,    -4
    888,  -118,   118,    72,  -1436,   560, 15508,    30,     0,    -5
    899,  -115,   121,    55,  -1304,   444, 15376,    28,     5,    -5
    913,  -101,   111,    45,  -1364,   508, 15228,    30,     1,    -3
    926,   -82,    92,    32,  -1300,   472, 15252,    31,     1,    -3
    938,   -58,    65,    19,  -1372,   572, 15752,    29,     4,    -1
    957,     6,    44,   -13,  -1416,   492, 15564,    31,     4,    -3
    964,     3,    40,   -31,  -1344,   384, 15580,    27,     3,    -4
    979,     9,    27,   -50,  -1320,   212, 15576,    29,     3,    -3
    983,     9,    27,   -50,  -1320,   212, 15576,    29,     3,    -3
    992,    39,    15,   -55,  -1304,   232, 15520,    29,     3,    -5
   1006,    55,     4,   -57,  -1392,   352, 15640,    28,     3,    -4
   1024,    65,    -8,   -69,  -1464,   328, 15672,    31,     1,    -2
   1043,    52,     0,   -65,  -1372,  -264, 15668,    29,     3,    -4
   1057,    29,     3,   -42,  -1444,  -112, 15696,    31,     5,    -4
   1061,     1,     6,   -17,  -1444,  -112, 15696,    31,     5,    -4
   1071,   -27,    13,     7,  -1524,    -4, 15904,    30,     3,    -4
   1087,   -50,    24,    21,  -1632,   344, 15764,    29,     1,    -4
   1091,   -59,    34,    24,  -1632,   344, 15764,    29,     1,    -4
   1102,   -54,    41,    17,  -1616,   360, 15716,    30,     3,    -4
   1118,   -34,    49,     6,  -1616,   620, 15524,    30,     2,    -4
   1125,   -18,    53,    -7,  -1616,   620, 15524,    31,     1,    -4
   1136,   -12,    54,   -22,  -1628,   432, 15372,    31,     1,    -4
   1148,   -10,    52,   -32,  -1492,   164, 15208,    29,     1,    -3
   1154,   -20,    43,   -37,  -1492,   164, 15208,    29,     1,    -3
   1160,   -18,    26,   -37,  -1492,     4, 15284,    29,     3,    -5
   1174,    -2,    12,   -36,  -1444,    84, 15224,    32,    -1,    -2
   1180,     4,    -1,   -37,  -1524,    64, 15452,    30,     2,    -4
   1192,    -4,    -6,   -34,  -1544,   204, 15516,    30,     4,    -5
   1200,   -25,    -3,   -27,  -1632,   100, 15500,    29,     3,    -3
   1210,   -36,     7,   -24,  -1556,    28, 15652,    29,     3,    -3
   1223,   -29,    15,   -20,  -1588,    80, 15468,    30,     0,    -2
   1235,   -24,    16,   -15,  -1588,   -12, 15664,    29,     2,    -2
   1244,   -36,    16,    -7,  -1596,  -180, 15692,    28,     2,    -5
   1253,   -49,    22,     3,  -1608,  -212, 15716,    30,     5,    -3
   1273,    -3,    34,    13,  -1636,   -76, 15904,    30,     5,    -3
   1282,     4,    49,    10,  -1568,    12, 15776,    30,     4,    -5
   1305,    -1,    59,     4,  -1692,  -196, 15676,    31,     3,    -5
   1310,    50,    53,     0,  -1680,   -20, 15548,    29,     2,    -4
   1320,   124,    34,   -10,  -1836,    16, 15712,    29,     3,    -5
   1334,   210,    18,   -23,  -1676,   320, 15680,    28,     3,    -7
   1349,   287,    -3,   -54,  -1576,   284, 15704,    28,     4,    -4
   1372,   298,   -19,   -59,  -1304,    52, 15660,    28,     4,    -3
   1383,   282,   -33,   -47,  -1416,   348, 15976,    29,     2,    -4
   1404,   360,   -47,   -22,  -1308,   724, 16028,    26,     3,    -5
   1415,   404,   -45,   -23,  -1400,  1164, 15872,    29,     4,    -3
   1422,   447,   -39,   -32,  -1316,  1492, 15868,    28,     2,    -5
   1439,   492,   -32,   -75,  -1404,  1984, 15488,    26,     3,    -5
   1455,   592,   -47,  -109,  -1484,  2468, 15100,    26,     3,    -5
   1463,   724,   -77,  -155,  -1268,  1908, 14864,    25,     1,    -5
   1474,   859,  -120,  -180,  -1244,  1576, 14816,    28,     3,    -4
   1489,   957,  -160,  -184,   -632,   744, 15228,    25,     5,    -6
   1495,   951,  -202,  -159,   -952,  1748, 15984,    23,     3,    -6
   1526,   587,  -158,    -2,   -952,  1748, 15984,    23,     3,    -6
   1537,   599,  -130,    23,  -1384,  3060, 15788,    22,     3,    -6
   1546,   761,  -117,    27,  -1592,  4020, 15356,    21,     1,    -6
   1553,   968,  -105,     2,  -1592,  4020, 15356,    21,     1,    -6
   1563,  1086,  -126,   -49,   -664,  4204, 14924,    22,     3,    -6
   1572,  1137,  -135,  -110,   -724,  4308, 14672,    20,     2,    -6
   1582,  1079,  -146,  -163,   -724,  4308, 14672,    20,     2,    -6
   1593,   971,  -172,  -197,   -536,  3964, 14592,    19,     2,    -8
   1602,   922,  -193,  -211,   -708,  3816, 14528,    19,     2,    -8
   1610,   939,  -222,  -217,   -540,  3116, 14920,    18,     2,    -8
   1625,   951,  -252,  -194,   -452,  2836, 15352,    18,     0,    -8
   1632,   893,  -242,  -151,   -560,  2892, 15792,    19,     2,   -10
   1641,   798,  -208,  -100,   -368,  3116, 15944,    16,     0,    -9
   1654,   746,  -160,   -52,   -672,  3776, 16140,    17,     2,    -8
   1664,   760,   -96,   -25,   -724,  4480, 15896,    17,     2,    -9
   1681,   913,   -32,   -45,   -972,  5884, 15304,    13,     3,    -9
   1690,  1038,   -29,   -91,   -840,  6204, 14872,    14,     2,   -11
   1697,  1038,   -29,   -91,   -444,  5928, 14596,    15,     1,   -10
   1710,  1053,   -55,  -172,   -600,  5716, 14588,    14,     1,   -12
   1725,   994,   -65,  -184,   -504,  5252, 14452,    13,    -1,   -11
   1740,  1076,   -69,  -167,   -656,  5996, 14060,    12,     2,   -11
   1752,  1188,   -82,  -159,   -656,  5996, 14060,    12,     2,   -11
   1766,  1335,   -89,  -166,   -824,  7336, 13336,    11,     1,   -12
   1774,  1471,  -102,  -195,   -824,  7336, 13336,    11,     1,   -12
   1781,  1585,  -153,  -242,   -532,  7300, 13340,    10,     1,   -14
   1797,  1627,  -201,  -269,    -48,  6276, 13352,     9,     1,   -15
   1811,  1526,  -285,  -249,   -128,  6460, 13652,     9,     0,   -14
   1820,  1516,  -302,  -216,   -256,  6904, 13932,     7,     3,   -16
   1831,  1555,  -285,  -196,   -292,  7572, 14128,     6,     1,   -16
   1841,  1704,  -274,  -196,   -568,  8640, 13876,     6,     0,   -18
   1851,  1946,  -252,  -233,   -784,  9740, 13660,     7,     2,   -17
   1867,  2137,  -226,  -292,   -520, 10736, 12944,     6,     1,   -21
   1872,  2243,  -241,  -371,   -748, 11380, 12408,     4,     2,   -21
   1885,  2278,  -297,  -462,   -624, 11488, 12208,     2,     2,   -22
   1896,  2183,  -345,  -541,   -236, 10972, 11884,     2,     3,   -23
   1903,  2044,  -395,  -588,    104,  9880, 11888,     2,     2,   -21
   1914,  1892,  -450,  -589,    220,  9296, 12076,     0,     3,   -25
   1926,  1807,  -484,  -552,    232,  8896, 12264,    -1,     3,   -26
   1936,  1857,  -489,  -507,    360, 10268, 12752,    -2,     2,   -28
   1949,  1892,  -452,  -460,    168, 10988, 12492,    -2,     3,   -29
   1964,  1848,  -345,  -407,     20, 11636, 12288,    -4,     3,   -29
   1979,  1782,  -308,  -398,   -148, 12360, 12276,    -3,     3,   -33
   1991,  1585,  -214,  -402,    -80, 12580, 12156,    -5,     2,   -33
   2015,  1447,   -95,  -408,   -156, 12812, 11724,    -5,     3,   -34
   2021,  1541,   -40,  -411,   -252, 13232, 11248,    -7,     3,   -36
   2034,  1659,    13,  -423,   -124, 13000, 10224,    -7,     3,   -37
   2050,  1444,    44,  -411,   -196, 12524,  9912,    -6,     5,   -38
   2062,  1258,    35,  -380,   -256, 12328, 10060,    -7,     3,   -41
   2070,  1166,    37,  -344,   -504, 12664, 10304,    -8,     3,   -39
   2083,  1178,    80,  -314,   -404, 13260, 10284,    -7,     6,   -40
   2091,  1344,   154,  -302,   -956, 13996,  9812,    -8,     5,   -41
   2101,  1521,   205,  -318,   -876, 14220,  9304,    -9,     4,   -43
   2112,  1601,   229,  -335,  -1064, 14136,  8708,    -8,     4,   -44
   2132,  1376,   260,  -338,   -864, 12892,  7908,    -8,     7,   -46
   2147,  1120,   256,  -288,  -1032, 12640,  7908,    -8,     7,   -46
   2152,   916,   267,  -219,  -1068, 12896,  7884,    -9,     5,   -46
   2161,   796,   303,  -159,  -1196, 13500,  7864,   -10,     5,   -45
   2172,   792,   345,  -123,  -1412, 13976,  7696,   -10,     6,   -47
   2183,   861,   366,  -111,  -1372, 14296,  7288,   -11,     6,   -49
   2192,   927,   378,  -111,  -1392, 14472,  6916,   -11,     6,   -49
   2201,  1003,   378,  -108,  -1580, 14536,  6412,    -9,     7,   -47
   2212,  1036,   372,  -102,  -1476, 14476,  6120,   -11,     9,   -49
   2229,   943,   364,   -87,  -1712, 14688,  5600,   -11,     5,   -52
   2238,   806,   348,   -61,  -1640, 14856,  5592,   -12,     7,   -53
   2247,   793,   335,   -44,  -1640, 14856,  5592,   -10,     6,   -52
   2254,   804,   332,   -40,  -1528, 14884,  5168,   -12,     6,   -54
   2264,   846,   332,   -29,  -1940, 14924,  4972,   -12,     6,   -54
   2272,   918,   324,   -29,  -1936, 14832,  4632,   -12,     6,   -53
   2284,   921,   297,   -22,  -1736, 14912,  4496,   -12,     6,   -53
   2294,   936,   262,   -14,  -2036, 15256,  4280,   -11,     6,   -54
   2308,   940,   246,   -13,  -1756, 15020,  3960,   -12,     5,   -55
   2319,   856,   238,    -8,  -1908, 14944,  3788,   -12,     7,   -55
   2331,   596,   227,    36,  -1716, 15020,  3768,   -11,     7,   -57
   2340,   549,   215,    54,  -1748, 15204,  3688,   -12,     5,   -58
   2351,   640,   196,    59,  -1768, 15420,  3660,   -12,     7,   -57
   2371,   804,   180,    44,  -1656, 15284,  3628,   -11,     7,   -58
   2381,   759,   183,    47,  -1524, 15148,  3580,   -11,     6,   -58
   2395,   657,   170,    67,  -1740, 15504,  3592,   -12,     7,   -61
   2401,   628,   167,    82,  -1768, 15788,  3736,   -12,     6,   -59
   2413,   573,   176,    84,  -1660, 15856,  3624,   -11,     4,   -58
   2421,   446,   194,    91,  -1468, 15784,  3548,   -12,     6,   -61
   2442,   219,   229,   107,  -1460, 16080,  3564,   -12,     5,   -63
   2455,   242,   239,   101,  -1320, 16484,  3572,   -13,     7,   -61
   2464,   260,   240,    82,  -1440, 16492,  3460,   -12,     5,   -62
   2471,   310,   244,    61,  -1596, 16240,  3272,   -13,     5,   -62
   2486,   337,   234,    54,  -1284, 15916,  3172,   -11,     5,   -61
   2498,   402,   209,    59,  -1448, 15812,  2644,   -12,     5,   -64
   2509,   468,   177,    82,  -1588, 15580,  2380,   -11,     6,   -64
   2515,   468,   177,    82,  -1764, 15504,  2260,   -11,     5,   -62
   2529,   273,   171,   113,  -1560, 15552,  2148,   -12,     6,   -61
   2538,    21,   166,   156,  -1692, 16060,  1980,   -13,     6,   -64
   2553,  -206,   114,   198,  -1384, 16972,  2284,   -10,     5,   -63
   2574,  -261,    50,   164,  -1352, 17624,  2520,   -10,     4,   -63
   2583,  -235,    31,   118,  -1244, 17864,  2708,   -10,     4,   -63
   2599,  -110,    29,    10,  -1260, 17308,  2924,   -12,     6,   -63
   2603,  -110,    29,    10,  -1260, 17308,  2924,   -12,     6,   -63
   2618,  -223,    46,   -15,  -1196, 16536,  2920,   -13,     6,   -62
   2621,  -423,    63,   -10,   -932, 16156,  3024,   -13,     6,   -62
   2631,  -541,    66,     8,  -1016, 16340,  3344,   -11,     6,   -62
   2642,  -524,    70,     9,  -1088, 16692,  3528,   -12,     5,   -63
   2652,  -466,    69,    -3,  -1088, 17024,  3768,   -13,     5,   -61
   2673,  -430,    75,   -54,  -1316, 16788,  3812,   -12,     5,   -60
   2688,  -531,    93,   -71,  -1332, 16368,  3908,   -13,     2,   -59
   2695,  -671,   105,   -75,  -1360, 16168,  4464,   -10,     5,   -60
   2704,  -786,   127,   -76,  -1360, 16168,  4464,   -13,     4,   -58
   2715,  -879,   158,   -74,  -1360, 16012,  4580,   -13,     4,   -58
   2726,  -953,   184,   -69,  -1388, 15972,  4652,   -12,     5,   -57
   2731, -1013,   209,   -61,  -1544, 15824,  4684,   -12,     5,   -57
