Time,Gyro_X, Gyro_Y, Gyro_Z,Accel_X, Accel_Y, Accel_Z,Comp_X, Comp_Y, Comp_Z
    196,   113,    80,    48,   -232,  1588, 15016,  -232,  1588, 15016
    201,   104,    74,    45,   -168,  1576, 14940,  -168,  1576, 14940
    208,    94,    68,    48,   -224,  1692, 14872,  -224,  1692, 14872
    212,    85,    62,    51,   -224,  1692, 14872,  -224,  1692, 14872
    218,    78,    54,    55,   -156,  1680, 14756,  -156,  1680, 14756
    222,    74,    47,    60,   -156,  1680, 14756,  -156,  1680, 14756
    229,    68,    33,    68,    -76,  1640, 14852,   -76,  1640, 14852
    232,    68,    33,    68,    -76,  1640, 14852,   -76,  1640, 14852
    238,    66,    26,    74,   -104,  1672, 14936,  -104,  1672, 14936
    241,    64,    21,    76,   -100,  1792, 14748,  -100,  1792, 14748
    248,    64,    17,    80,   -100,  1792, 14748,  -100,  1792, 14748
    259,    61,    15,    89,   -268,  2144, 14688,  -268,  2144, 14688
    276,    41,    16,    94,   -336,  2204, 14684,  -336,  2204, 14684
    280,    27,    19,    92,   -292,  2312, 14664,  -292,  2312, 14664
    283,    27,    19,    92,   -360,  2356, 14536,  -360,  2356, 14536
    288,    13,    20,    90,   -360,  2356, 14536,  -360,  2356, 14536
    292,    -5,    20,    84,   -264,  2436, 14596,  -264,  2436, 14596
    300,   -64,    21,    79,   -232,  2472, 14732,  -232,  2472, 14732
    313,  -141,    17,    78,   -184,  2536, 14984,  -184,  2536, 14984
    316,  -174,    15,    72,   -244,  2492, 15012,  -244,  2492, 15012
    324,  -198,    13,    68,   -176,  2416, 15404,  -176,  2416, 15404
    327,  -215,     8,    63,   -176,  2416, 15404,  -176,  2416, 15404
    330,  -218,     7,    61,   -180,  2272, 15444,  -180,  2272, 15444
    344,  -199,     6,    48,    -16,  2140, 15872,   -16,  2140, 15872
    348,  -178,     3,    40,    -16,  2140, 15872,   -16,  2140, 15872
    355,  -128,     7,    22,     56,  2056, 15880,    56,  2056, 15880
    364,  -101,    10,    15,    -12,  2072, 15964,   -12,  2072, 15964
    374,   -61,    14,    -4,     44,  2032, 16024,    44,  2032, 16024
    380,   -39,    20,   -25,     72,  1980, 16100,    72,  1980, 16100
    386,   -31,    23,   -33,     48,  1916, 16100,    48,  1916, 16100
    394,   -25,    27,   -42,     28,  1912, 16020,    28,  1912, 16020
    398,   -21,    29,   -49,    100,  1880, 16120,   100,  1880, 16120
    411,    -4,    32,   -65,   -140,  1868, 16028,  -140,  1868, 16028
    420,     7,    33,   -73,   -124,  1928, 16180,  -124,  1928, 16180
    428,    12,    33,   -77,   -160,  1928, 15996,  -160,  1928, 15996
    437,    16,    33,   -78,   -220,  1852, 16076,  -220,  1852, 16076
    446,    12,    30,   -73,   -196,  1788, 16108,  -196,  1788, 16108
    449,    12,    30,   -73,   -128,  1728, 16068,  -128,  1728, 16068
    452,     9,    30,   -69,   -128,  1728, 16068,  -128,  1728, 16068
    456,     8,    31,   -64,   -120,  1728, 16192,  -120,  1728, 16192
    460,     8,    32,   -59,   -124,  1684, 16196,  -124,  1684, 16196
    467,    11,    36,   -54,   -284,  1792, 16216,  -284,  1792, 16216
    494,    28,    63,   -46,   -560,  1812, 16136,  -560,  1812, 16136
    501,    18,    79,   -49,   -560,  1892, 16096,  -560,  1892, 16096
    507,    10,    85,   -50,   -528,  1852, 16104,  -528,  1852, 16104
    523,    -8,    93,   -54,   -564,  1588, 16056,  -564,  1588, 16056
    532,    -5,    96,   -57,   -440,  1548, 16004,  -440,  1548, 16004
    541,    16,    92,   -52,   -540,  1412, 15944,  -540,  1412, 15944
    545,    28,    87,   -47,   -520,  1448, 15996,  -520,  1448, 15996
    556,    65,    75,   -40,   -524,  1448, 15868,  -524,  1448, 15868
    568,    95,    65,   -29,   -472,  1368, 15716,  -472,  1368, 15716
    578,   114,    54,   -16,   -416,  1400, 15620,  -416,  1400, 15620
    583,   118,    50,    -9,   -384,  1540, 15476,  -384,  1540, 15476
    590,   117,    44,    10,   -352,  1656, 15508,  -352,  1656, 15508
    599,   108,    39,    28,   -488,  1700, 15464,  -488,  1700, 15464
    609,    86,    38,    43,   -588,  1840, 15596,  -588,  1840, 15596
    613,    86,    38,    43,   -588,  1840, 15596,  -588,  1840, 15596
    620,    70,    41,    52,   -544,  1852, 15468,  -544,  1852, 15468
    637,    81,    49,    54,   -524,  1960, 15416,  -524,  1960, 15416
    647,    81,    50,    48,   -556,  2084, 15532,  -556,  2084, 15532
    655,    51,    53,    43,   -464,  2180, 15484,  -464,  2180, 15484
    658,    51,    53,    43,   -464,  2180, 15484,  -464,  2180, 15484
    661,    30,    54,    42,   -460,  2204, 15472,  -460,  2204, 15472
    669,    13,    53,    42,   -496,  2168, 15388,  -496,  2168, 15388
    676,     3,    54,    37,   -476,  2020, 15420,  -476,  2020, 15420
    683,     4,    52,    35,   -476,  2020, 15420,  -476,  2020, 15420
    687,    12,    48,    33,   -376,  1936, 15328,  -376,  1936, 15328
    694,    30,    51,    32,   -284,  1988, 15244,  -284,  1988, 15244
    700,    57,    46,    29,   -256,  2076, 15292,  -256,  2076, 15292
    707,    59,    45,    27,   -252,  2216, 15196,  -252,  2216, 15196
    711,    54,    43,    28,   -224,  2120, 15188,  -224,  2120, 15188
    716,    45,    41,    25,   -284,  2168, 15196,  -284,  2168, 15196
    727,    17,    40,    18,   -452,  2192, 15108,  -452,  2192, 15108
    733,     2,    35,    12,   -396,  2332, 15184,  -396,  2332, 15184
    740,   -19,    32,    -1,   -512,  2292, 15168,  -512,  2292, 15168
    747,   -24,    28,    -7,   -416,  2216, 15208,  -416,  2216, 15208
    756,   -21,    21,   -17,   -444,  2180, 15268,  -444,  2180, 15268
    766,    -9,    13,   -30,   -328,  1972, 15332,  -328,  1972, 15332
    773,    -4,    11,   -34,   -148,  1912, 15320,  -148,  1912, 15320
    785,    11,     6,   -38,   -176,  1996, 15444,  -176,  1996, 15444
    792,    13,     7,   -37,   -104,  1976, 15360,  -104,  1976, 15360
    797,    13,     7,   -38,   -248,  1996, 15332,  -248,  1996, 15332
    804,    12,     9,   -35,   -276,  2140, 15416,  -276,  2140, 15416
    813,     5,    18,   -30,   -300,  2112, 15376,  -300,  2112, 15376
