Time,Gyro_X, Gyro_Y, Gyro_Z,Accel_X, Accel_Y, Accel_Z,Comp_X, Comp_Y, Comp_Z
    276,     8,    12,    43,    456,   160, 15672,   456,   160, 15672
    287,    35,    13,    50,    440,   284, 15496,   440,   284, 15496
    290,    43,    16,    54,    440,   284, 15496,   440,   284, 15496
    301,    43,    19,    60,    416,   260, 15420,   416,   260, 15420
    309,    20,    21,    68,    516,   396, 15328,   516,   396, 15328
    319,   -21,    27,    72,    496,   524, 15368,   496,   524, 15368
    325,   -47,    26,    75,    560,   416, 15408,   560,   416, 15408
    331,   -77,    27,    75,    560,   416, 15408,   560,   416, 15408
    335,  -106,    27,    72,    516,   428, 15556,   516,   428, 15556
    339,  -124,    25,    71,    552,   460, 15600,   552,   460, 15600
    344,  -137,    23,    66,    548,   336, 15652,   548,   336, 15652
    349,  -137,    23,    63,    516,   304, 15748,   516,   304, 15748
    372,   -62,    24,    58,    768,   380, 15752,   768,   380, 15752
    382,   -23,    25,    58,    640,   376, 15736,   640,   376, 15736
    389,     0,    24,    56,    660,   424, 15660,   660,   424, 15660
    396,     1,    27,    53,    664,   460, 15512,   664,   460, 15512
    416,   -42,    28,    40,    644,   556, 15576,   644,   556, 15576
    436,   -82,    26,    28,    708,   460, 15788,   708,   460, 15788
    443,   -86,    27,    19,    608,   404, 15656,   608,   404, 15656
    451,   -83,    24,    18,    676,   392, 15672,   676,   392, 15672
    458,   -72,    25,    10,    672,   340, 15776,   672,   340, 15776
    467,   -63,    25,     7,    660,   320, 15796,   660,   320, 15796
    482,   -38,    25,    -2,    672,   284, 15788,   672,   284, 15788
    486,   -36,    27,    -2,    676,   352, 15776,   676,   352, 15776
    496,   -44,    26,    -3,    704,   232, 15648,   704,   232, 15648
    506,   -56,    25,    -2,    720,   192, 15716,   720,   192, 15716
    517,   -61,    22,    -3,    712,   140, 15748,   712,   140, 15748
    524,   -59,    16,    -6,    728,    80, 15728,   728,    80, 15728
    533,   -46,    13,    -6,    692,   164, 15720,   692,   164, 15720
    543,   -32,     6,    -1,    712,   100, 15820,   712,   100, 15820
    551,   -26,     4,     2,    712,   100, 15820,   712,   100, 15820
    557,   -22,     1,     6,    680,   192, 15812,   680,   192, 15812
    565,    -9,     1,    12,    728,   252, 15740,   728,   252, 15740
    572,   -11,    -1,    15,    712,   212, 15876,   712,   212, 15876
    586,   -21,     8,    19,    732,   352, 15824,   732,   352, 15824
    605,   -45,    21,    12,    708,   296, 15732,   708,   296, 15732
    631,   -47,    27,     9,    708,   180, 15700,   708,   180, 15700
    649,   -41,    19,    11,    684,   216, 15796,   684,   216, 15796
    662,   -38,    18,    11,    680,   316, 15700,   680,   316, 15700
    664,   -42,    19,     8,    712,   316, 15872,   712,   316, 15872
    671,   -42,    20,     7,    544,   340, 15776,   544,   340, 15776
    688,   -52,    31,    -6,    640,   240, 15856,   640,   240, 15856
    691,   -52,    31,    -6,    640,   240, 15856,   640,   240, 15856
    695,   -55,    31,   -10,    640,   296, 15808,   640,   296, 15808
    702,   -52,    34,   -12,    668,   240, 15684,   668,   240, 15684
    715,   -32,    34,   -17,    592,   228, 15696,   592,   228, 15696
    721,   -26,    33,   -18,    624,   292, 15772,   624,   292, 15772
    733,   -23,    36,   -22,    528,   208, 15632,   528,   208, 15632
    741,   -31,    36,   -27,    472,   164, 15540,   472,   164, 15540
    756,   -30,    29,   -28,    540,    52, 15728,   540,    52, 15728
    770,   -35,    26,   -26,    476,    60, 15748,   476,    60, 15748
    774,   -34,    22,   -24,    528,    -4, 15648,   528,    -4, 15648
    781,   -34,    19,   -24,    568,   -48, 15632,   568,   -48, 15632
    791,   -28,    16,   -19,    616,  -128, 15712,   616,  -128, 15712
    808,   -23,    15,   -12,    496,   -56, 15672,   496,   -56, 15672
    828,   -30,    11,    -1,    580,    60, 15716,   580,    60, 15716
    831,   -33,    11,     1,    600,   132, 15744,   600,   132, 15744
    847,   -51,    15,     6,    576,   148, 15808,   576,   148, 15808
    861,   -62,    21,    10,    616,   148, 15640,   616,   148, 15640
    877,   -54,    29,     8,    416,    52, 15736,   416,    52, 15736
    883,   -45,    32,     8,    556,    64, 15748,   556,    64, 15748
    891,   -36,    32,    11,    484,    12, 15748,   484,    12, 15748
    894,   -25,    30,    12,    564,    -8, 15708,   564,    -8, 15708
    903,   -14,    30,    15,    516,    96, 15620,   516,    96, 15620
    924,   -15,    27,    23,    516,   276, 15560,   516,   276, 15560
    931,   -23,    25,    23,    424,   320, 15556,   424,   320, 15556
    947,   -52,    26,    19,    332,   360, 15476,   332,   360, 15476
    966,   -75,    26,     4,    240,   252, 15372,   240,   252, 15372
    977,   -81,    21,    -6,    220,   220, 15452,   220,   220, 15452
    983,   -82,    18,   -11,    392,   108, 15572,   392,   108, 15572
    994,   -98,     1,   -19,    512,   -72, 15552,   512,   -72, 15552
    999,   -97,    -4,   -19,    556,  -160, 15624,   556,  -160, 15624
   1018,   -79,   -17,    -6,    652,  -288, 15752,   652,  -288, 15752
   1025,   -66,   -19,     5,    584,  -224, 15812,   584,  -224, 15812
   1039,   -54,   -21,    10,    640,  -220, 15836,   640,  -220, 15836
   1043,   -54,   -21,    10,    588,  -180, 15632,   588,  -180, 15632
   1051,   -50,   -20,    13,    560,  -152, 15784,   560,  -152, 15784
   1054,   -50,   -23,    14,    572,  -164, 15824,   572,  -164, 15824
   1061,   -49,   -26,    17,    616,  -172, 15720,   616,  -172, 15720
   1066,   -47,   -26,    21,    612,  -256, 15764,   612,  -256, 15764
   1079,   -30,   -31,    36,    588,  -284, 15908,   588,  -284, 15908
   1090,   -12,   -28,    52,    716,  -280, 15796,   716,  -280, 15796
   1095,    -2,   -26,    59,    792,  -244, 15868,   792,  -244, 15868
   1099,     1,   -21,    68,    824,  -236, 15792,   824,  -236, 15792
   1104,    -3,   -19,    78,    812,  -116, 15812,   812,  -116, 15812
   1112,   -12,   -15,    83,    888,   -96, 15784,   888,   -96, 15784
   1116,   -29,   -11,    88,    888,   -96, 15784,   888,   -96, 15784
   1119,   -51,    -5,    92,    948,    52, 15816,   948,    52, 15816
   1124,   -77,    -2,    94,    996,    60, 15928,   996,    60, 15928
   1130,  -106,     2,    95,   1000,    68, 15988,  1000,    68, 15988
   1139,  -142,    15,    90,   1032,    36, 16052,  1032,    36, 16052
   1147,  -149,    23,    82,   1016,   136, 16072,  1016,   136, 16072
   1153,  -151,    27,    77,   1052,    -4, 16052,  1052,    -4, 16052
   1157,  -143,    33,    69,   1068,    36, 16040,  1068,    36, 16040
   1161,  -129,    36,    61,   1068,    36, 16040,  1068,    36, 16040
   1165,  -107,    40,    54,   1072,    56, 16136,  1072,    56, 16136
   1169,   -87,    45,    48,   1008,     4, 16052,  1008,     4, 16052
   1178,   -65,    46,    43,   1012,    20, 16172,  1012,    20, 16172
   1182,   -44,    48,    34,   1012,    20, 16172,  1012,    20, 16172
   1187,   -23,    50,    29,    968,   -40, 16092,   968,   -40, 16092
